link	 agency
/welcome/agencyarrests/3/Alameda_Police	Alameda Police
/welcome/agencyarrests/253/Alameda_County_Sheriff	Alameda County Sheriff
/welcome/agencyarrests/5/Alhambra_Police	Alhambra Police
/welcome/agencyarrests/254/Alpine_County_Sheriff	Alpine County Sheriff
/welcome/agencyarrests/286/Altadena_CHP	Altadena CHP
/welcome/agencyarrests/328/Altadena_Sheriff_Substation	Altadena Sheriff Substation
/welcome/agencyarrests/595/Alturas_CHP	Alturas CHP
/welcome/agencyarrests/610/Amador_CHP	Amador CHP
/welcome/agencyarrests/255/Amador_County_Sheriff	Amador County Sheriff
/welcome/agencyarrests/249/American_Canyon_Police	American Canyon Police
/welcome/agencyarrests/8/Anaheim_Police	Anaheim Police
/welcome/agencyarrests/414/Antelope_Valley_CHP	Antelope Valley CHP
/welcome/agencyarrests/11/Antioch_Police	Antioch Police
/welcome/agencyarrests/13/Arcadia_Police	Arcadia Police
/welcome/agencyarrests/259/Arrowhead_CHP	Arrowhead CHP
/welcome/agencyarrests/15/Arroyo_Grande_Police	Arroyo Grande Police
/welcome/agencyarrests/18/Atascadero_Police	Atascadero Police
/welcome/agencyarrests/598/Auburn_CHP	Auburn CHP
/welcome/agencyarrests/22/Avalon_Sheriff_Substation	Avalon Sheriff Substation
/welcome/agencyarrests/23/Azusa_Police	Azusa Police
/welcome/agencyarrests/124/Bakersfield_CHP	Bakersfield CHP
/welcome/agencyarrests/24/Bakersfield_Police	Bakersfield Police
/welcome/agencyarrests/485/Baldwin_Park_CHP	Baldwin Park CHP
/welcome/agencyarrests/25/Baldwin_Park_Police	Baldwin Park Police
/welcome/agencyarrests/676/Banning_Police	Banning Police
/welcome/agencyarrests/211/Barstow_CHP	Barstow CHP
/welcome/agencyarrests/758/BART_Police	BART Police
/welcome/agencyarrests/677/Beaumont_Police	Beaumont Police
/welcome/agencyarrests/30/Bell_Police	Bell Police
/welcome/agencyarrests/32/Bell_Gardens_Police	Bell Gardens Police
/welcome/agencyarrests/35/Benicia_Police	Benicia Police
/welcome/agencyarrests/36/Berkeley_-_UC_Police	Berkeley - UC Police
/welcome/agencyarrests/2130/Berkeley_PD_Police	Berkeley PD Police
/welcome/agencyarrests/82/Beverly_Hills_Police	Beverly Hills Police
/welcome/agencyarrests/313/Bishop_CHP	Bishop CHP
/welcome/agencyarrests/296/Blythe_CHP	Blythe CHP
/welcome/agencyarrests/561/Brea_Police	Brea Police
/welcome/agencyarrests/312/Bridgeport_CHP	Bridgeport CHP
/welcome/agencyarrests/309/Buellton_CHP	Buellton CHP
/welcome/agencyarrests/40/Buena_Park_Police	Buena Park Police
/welcome/agencyarrests/41/Burbank_Police	Burbank Police
/welcome/agencyarrests/256/Butte_County_Sheriff	Butte County Sheriff
/welcome/agencyarrests/564/Buttonwillow_CHP	Buttonwillow CHP
/welcome/agencyarrests/2121/CA_Dept._Of_Alcoholic_Beverage_Control	CA Dept. Of Alcoholic Beverage Control 
/welcome/agencyarrests/2067/Cal_State_Chico_Police	Cal State Chico Police
/welcome/agencyarrests/611/Calaveras_County_Sheriff	Calaveras County Sheriff
/welcome/agencyarrests/48/Calistoga_Police	Calistoga Police
/welcome/agencyarrests/49/Campbell_Police	Campbell Police
/welcome/agencyarrests/2039/Campus_Parks_Sheriff_Substation	Campus Parks Sheriff Substation
/welcome/agencyarrests/168/Capistrano_CHP	Capistrano CHP
/welcome/agencyarrests/51/Capitola_Police	Capitola Police
/welcome/agencyarrests/52/Carlsbad_Police	Carlsbad Police
/welcome/agencyarrests/53/Carmel_Police	Carmel Police
/welcome/agencyarrests/55/Carson_Sheriff_Substation	Carson Sheriff Substation
/welcome/agencyarrests/678/Cathedral_City_Police	Cathedral City Police
/welcome/agencyarrests/484/Central_Los_Angeles_CHP	Central Los Angeles CHP
/welcome/agencyarrests/272/Century_Sheriff_Substation	Century Sheriff Substation
/welcome/agencyarrests/367/Cerritos_Sheriff_Substation	Cerritos Sheriff Substation
/welcome/agencyarrests/602/Chico_CHP	Chico CHP
/welcome/agencyarrests/59/Chico_Police	Chico Police
/welcome/agencyarrests/61/Chino_Police	Chino Police
/welcome/agencyarrests/62/Chowchilla_Police	Chowchilla Police
/welcome/agencyarrests/2136/chp_state_capitol_division_CHP	chp state capitol division CHP
