city,county,link,total_records,total_pages,total_county_records
Los Angeles,Los Angeles,https://www.localcrimenews.com//welcome/newCities/los-angeles,1292398.0,64620.0,6690871.0
San Diego,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-diego,486097.0,24305.0,6690871.0
San Bernardino,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-bernardino,264388.0,13220.0,6690871.0
Long Beach,Los Angeles,https://www.localcrimenews.com//welcome/newCities/long-beach,200373.0,10019.0,6690871.0
Fontana,Los Angeles,https://www.localcrimenews.com//welcome/newCities/fontana,159290.0,7965.0,6690871.0
Ontario,Los Angeles,https://www.localcrimenews.com//welcome/newCities/ontario,139002.0,6951.0,6690871.0
Pomona,Los Angeles,https://www.localcrimenews.com//welcome/newCities/pomona,125243.0,6263.0,6690871.0
Lancaster,Los Angeles,https://www.localcrimenews.com//welcome/newCities/lancaster,115676.0,5784.0,6690871.0
Compton,Los Angeles,https://www.localcrimenews.com//welcome/newCities/compton,103357.0,5168.0,6690871.0
Ventura,Los Angeles,https://www.localcrimenews.com//welcome/newCities/ventura,99592.0,4980.0,6690871.0
Palmdale,Los Angeles,https://www.localcrimenews.com//welcome/newCities/palmdale,91100.0,4555.0,6690871.0
Whittier,Los Angeles,https://www.localcrimenews.com//welcome/newCities/whittier,84800.0,4240.0,6690871.0
Rialto,Los Angeles,https://www.localcrimenews.com//welcome/newCities/rialto,83722.0,4187.0,6690871.0
Garden Grove,Los Angeles,https://www.localcrimenews.com//welcome/newCities/garden-grove,76047.0,3803.0,6690871.0
Corona,Los Angeles,https://www.localcrimenews.com//welcome/newCities/corona,72488.0,3625.0,6690871.0
Van Nuys,Los Angeles,https://www.localcrimenews.com//welcome/newCities/van-nuys,72021.0,3602.0,6690871.0
Huntington Beach,Los Angeles,https://www.localcrimenews.com//welcome/newCities/huntington-beach,68987.0,3450.0,6690871.0
Pasadena,Los Angeles,https://www.localcrimenews.com//welcome/newCities/pasadena,67441.0,3373.0,6690871.0
Costa Mesa,Los Angeles,https://www.localcrimenews.com//welcome/newCities/costa-mesa,66486.0,3325.0,6690871.0
El Monte,Los Angeles,https://www.localcrimenews.com//welcome/newCities/el-monte,66039.0,3302.0,6690871.0
Perris,Los Angeles,https://www.localcrimenews.com//welcome/newCities/perris,65179.0,3259.0,6690871.0
Inglewood,Los Angeles,https://www.localcrimenews.com//welcome/newCities/inglewood,63290.0,3165.0,6690871.0
La Puente,Los Angeles,https://www.localcrimenews.com//welcome/newCities/la-puente,62714.0,3136.0,6690871.0
Hesperia,Los Angeles,https://www.localcrimenews.com//welcome/newCities/hesperia,60827.0,3042.0,6690871.0
North Hollywood,Los Angeles,https://www.localcrimenews.com//welcome/newCities/north-hollywood,59570.0,2979.0,6690871.0
Fullerton,Los Angeles,https://www.localcrimenews.com//welcome/newCities/fullerton,57592.0,2880.0,6690871.0
Simi Valley,Los Angeles,https://www.localcrimenews.com//welcome/newCities/simi-valley,53019.0,2651.0,6690871.0
Redlands,Los Angeles,https://www.localcrimenews.com//welcome/newCities/redlands,47965.0,2399.0,6690871.0
Chula Vista,Los Angeles,https://www.localcrimenews.com//welcome/newCities/chula-vista,47802.0,2391.0,6690871.0
Norwalk,Los Angeles,https://www.localcrimenews.com//welcome/newCities/norwalk,47707.0,2386.0,6690871.0
Barstow,Los Angeles,https://www.localcrimenews.com//welcome/newCities/barstow,44773.0,2239.0,6690871.0
Upland,Los Angeles,https://www.localcrimenews.com//welcome/newCities/upland,44238.0,2212.0,6690871.0
Hawthorne,Los Angeles,https://www.localcrimenews.com//welcome/newCities/hawthorne,43332.0,2167.0,6690871.0
South Gate,Los Angeles,https://www.localcrimenews.com//welcome/newCities/south-gate,43205.0,2161.0,6690871.0
Glendale,Los Angeles,https://www.localcrimenews.com//welcome/newCities/glendale,42659.0,2133.0,6690871.0
Torrance,Los Angeles,https://www.localcrimenews.com//welcome/newCities/torrance,40976.0,2049.0,6690871.0
West Covina,Los Angeles,https://www.localcrimenews.com//welcome/newCities/west-covina,40735.0,2037.0,6690871.0
Baldwin Park,Los Angeles,https://www.localcrimenews.com//welcome/newCities/baldwin-park,39030.0,1952.0,6690871.0
Covina,Los Angeles,https://www.localcrimenews.com//welcome/newCities/covina,38501.0,1926.0,6690871.0
Carson,Los Angeles,https://www.localcrimenews.com//welcome/newCities/carson,38024.0,1902.0,6690871.0
Bellflower,Los Angeles,https://www.localcrimenews.com//welcome/newCities/bellflower,37721.0,1887.0,6690871.0
Lynwood,Los Angeles,https://www.localcrimenews.com//welcome/newCities/lynwood,37368.0,1869.0,6690871.0
Downey,Los Angeles,https://www.localcrimenews.com//welcome/newCities/downey,37132.0,1857.0,6690871.0
Gardena,Los Angeles,https://www.localcrimenews.com//welcome/newCities/gardena,36056.0,1803.0,6690871.0
Westminster,Los Angeles,https://www.localcrimenews.com//welcome/newCities/westminster,34966.0,1749.0,6690871.0
Banning,Los Angeles,https://www.localcrimenews.com//welcome/newCities/banning,34952.0,1748.0,6690871.0
San Pedro,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-pedro,34850.0,1743.0,6690871.0
Azusa,Los Angeles,https://www.localcrimenews.com//welcome/newCities/azusa,34006.0,1701.0,6690871.0
Pico Rivera,Los Angeles,https://www.localcrimenews.com//welcome/newCities/pico-rivera,33459.0,1673.0,6690871.0
Pacoima,Los Angeles,https://www.localcrimenews.com//welcome/newCities/pacoima,33350.0,1668.0,6690871.0
Adelanto,Los Angeles,https://www.localcrimenews.com//welcome/newCities/adelanto,31629.0,1582.0,6690871.0
Irvine,Los Angeles,https://www.localcrimenews.com//welcome/newCities/irvine,31493.0,1575.0,6690871.0
Montclair,Los Angeles,https://www.localcrimenews.com//welcome/newCities/montclair,31335.0,1567.0,6690871.0
Sylmar,Los Angeles,https://www.localcrimenews.com//welcome/newCities/sylmar,30777.0,1539.0,6690871.0
Tustin,Los Angeles,https://www.localcrimenews.com//welcome/newCities/tustin,30126.0,1507.0,6690871.0
Turlock,Los Angeles,https://www.localcrimenews.com//welcome/newCities/turlock,29656.0,1483.0,6690871.0
Wilmington,Los Angeles,https://www.localcrimenews.com//welcome/newCities/wilmington,28866.0,1444.0,6690871.0
Yucaipa,Los Angeles,https://www.localcrimenews.com//welcome/newCities/yucaipa,28282.0,1415.0,6690871.0
Huntington Park,Los Angeles,https://www.localcrimenews.com//welcome/newCities/huntington-park,28051.0,1403.0,6690871.0
Santa Monica,Los Angeles,https://www.localcrimenews.com//welcome/newCities/santa-monica,27522.0,1377.0,6690871.0
Canoga Park,Los Angeles,https://www.localcrimenews.com//welcome/newCities/canoga-park,26711.0,1336.0,6690871.0
Paramount,Los Angeles,https://www.localcrimenews.com//welcome/newCities/paramount,26527.0,1327.0,6690871.0
Reseda,Los Angeles,https://www.localcrimenews.com//welcome/newCities/reseda,26228.0,1312.0,6690871.0
Los Banos,Los Angeles,https://www.localcrimenews.com//welcome/newCities/los-banos,26115.0,1306.0,6690871.0
Lakewood,Los Angeles,https://www.localcrimenews.com//welcome/newCities/lakewood,24619.0,1231.0,6690871.0
La Habra,Los Angeles,https://www.localcrimenews.com//welcome/newCities/la-habra,24612.0,1231.0,6690871.0
Panorama City,Los Angeles,https://www.localcrimenews.com//welcome/newCities/panorama-city,24595.0,1230.0,6690871.0
Santa Paula,Los Angeles,https://www.localcrimenews.com//welcome/newCities/santa-paula,24282.0,1215.0,6690871.0
East Palo Alto,Los Angeles,https://www.localcrimenews.com//welcome/newCities/east-palo-alto,24121.0,1207.0,6690871.0
Montebello,Los Angeles,https://www.localcrimenews.com//welcome/newCities/montebello,22107.0,1106.0,6690871.0
Canyon Country,Los Angeles,https://www.localcrimenews.com//welcome/newCities/canyon-country,21822.0,1092.0,6690871.0
North Hills,Los Angeles,https://www.localcrimenews.com//welcome/newCities/north-hills,21169.0,1059.0,6690871.0
Sun Valley,Los Angeles,https://www.localcrimenews.com//welcome/newCities/sun-valley,21029.0,1052.0,6690871.0
Burbank,Los Angeles,https://www.localcrimenews.com//welcome/newCities/burbank,20956.0,1048.0,6690871.0
San Luis Obispo,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-luis-obispo,20700.0,1035.0,6690871.0
Redondo Beach,Los Angeles,https://www.localcrimenews.com//welcome/newCities/redondo-beach,20698.0,1035.0,6690871.0
Palm Desert,Los Angeles,https://www.localcrimenews.com//welcome/newCities/palm-desert,20205.0,1011.0,6690871.0
Alhambra,Los Angeles,https://www.localcrimenews.com//welcome/newCities/alhambra,19517.0,976.0,6690871.0
Chino Hills,Los Angeles,https://www.localcrimenews.com//welcome/newCities/chino-hills,19250.0,963.0,6690871.0
Northridge,Los Angeles,https://www.localcrimenews.com//welcome/newCities/northridge,19244.0,963.0,6690871.0
La Mesa,Los Angeles,https://www.localcrimenews.com//welcome/newCities/la-mesa,18473.0,924.0,6690871.0
Monrovia,Los Angeles,https://www.localcrimenews.com//welcome/newCities/monrovia,18091.0,905.0,6690871.0
Glendora,Los Angeles,https://www.localcrimenews.com//welcome/newCities/glendora,18007.0,901.0,6690871.0
Rosemead,Los Angeles,https://www.localcrimenews.com//welcome/newCities/rosemead,17695.0,885.0,6690871.0
Carlsbad,Los Angeles,https://www.localcrimenews.com//welcome/newCities/carlsbad,17350.0,868.0,6690871.0
Altadena,Los Angeles,https://www.localcrimenews.com//welcome/newCities/altadena,16087.0,805.0,6690871.0
West Hollywood,Los Angeles,https://www.localcrimenews.com//welcome/newCities/west-hollywood,15831.0,792.0,6690871.0
Morgan Hill,Los Angeles,https://www.localcrimenews.com//welcome/newCities/morgan-hill,15592.0,780.0,6690871.0
Lawndale,Los Angeles,https://www.localcrimenews.com//welcome/newCities/lawndale,15248.0,763.0,6690871.0
Woodland Hills,Los Angeles,https://www.localcrimenews.com//welcome/newCities/woodland-hills,15135.0,757.0,6690871.0
Bell,Los Angeles,https://www.localcrimenews.com//welcome/newCities/bell,14539.0,727.0,6690871.0
Hacienda Heights,Los Angeles,https://www.localcrimenews.com//welcome/newCities/hacienda-heights,13929.0,697.0,6690871.0
Santa Clarita,Los Angeles,https://www.localcrimenews.com//welcome/newCities/santa-clarita,13791.0,690.0,6690871.0
Moorpark,Los Angeles,https://www.localcrimenews.com//welcome/newCities/moorpark,13454.0,673.0,6690871.0
La Mirada,Los Angeles,https://www.localcrimenews.com//welcome/newCities/la-mirada,13362.0,669.0,6690871.0
San Gabriel,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-gabriel,13070.0,654.0,6690871.0
San Fernando,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-fernando,12995.0,650.0,6690871.0
Sherman Oaks,Los Angeles,https://www.localcrimenews.com//welcome/newCities/sherman-oaks,12856.0,643.0,6690871.0
Arleta,Los Angeles,https://www.localcrimenews.com//welcome/newCities/arleta,12807.0,641.0,6690871.0
Cypress,Los Angeles,https://www.localcrimenews.com//welcome/newCities/cypress,12509.0,626.0,6690871.0
Culver City,Los Angeles,https://www.localcrimenews.com//welcome/newCities/culver-city,11780.0,589.0,6690871.0
Monterey Park,Los Angeles,https://www.localcrimenews.com//welcome/newCities/monterey-park,11699.0,585.0,6690871.0
Yorba Linda,Los Angeles,https://www.localcrimenews.com//welcome/newCities/yorba-linda,11688.0,585.0,6690871.0
Duarte,Los Angeles,https://www.localcrimenews.com//welcome/newCities/duarte,11300.0,565.0,6690871.0
Newhall,Los Angeles,https://www.localcrimenews.com//welcome/newCities/newhall,11232.0,562.0,6690871.0
Granada Hills,Los Angeles,https://www.localcrimenews.com//welcome/newCities/granada-hills,11186.0,560.0,6690871.0
Rowland Heights,Los Angeles,https://www.localcrimenews.com//welcome/newCities/rowland-heights,10987.0,550.0,6690871.0
Rosamond,Los Angeles,https://www.localcrimenews.com//welcome/newCities/rosamond,10831.0,542.0,6690871.0
Marina,Los Angeles,https://www.localcrimenews.com//welcome/newCities/marina,10660.0,533.0,6690871.0
San Dimas,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-dimas,10611.0,531.0,6690871.0
Kerman,Los Angeles,https://www.localcrimenews.com//welcome/newCities/kerman,10520.0,526.0,6690871.0
Venice,Los Angeles,https://www.localcrimenews.com//welcome/newCities/venice,10517.0,526.0,6690871.0
La Verne,Los Angeles,https://www.localcrimenews.com//welcome/newCities/la-verne,10304.0,516.0,6690871.0
Ojai,Los Angeles,https://www.localcrimenews.com//welcome/newCities/ojai,10203.0,511.0,6690871.0
Arcadia,Los Angeles,https://www.localcrimenews.com//welcome/newCities/arcadia,10145.0,508.0,6690871.0
Chatsworth,Los Angeles,https://www.localcrimenews.com//welcome/newCities/chatsworth,9925.0,497.0,6690871.0
Crestline,Los Angeles,https://www.localcrimenews.com//welcome/newCities/crestline,9679.0,484.0,6690871.0
Loma Linda,Los Angeles,https://www.localcrimenews.com//welcome/newCities/loma-linda,9607.0,481.0,6690871.0
Cudahy,Los Angeles,https://www.localcrimenews.com//welcome/newCities/cudahy,9345.0,468.0,6690871.0
Harbor City,Los Angeles,https://www.localcrimenews.com//welcome/newCities/harbor-city,8882.0,445.0,6690871.0
Diamond Bar,Los Angeles,https://www.localcrimenews.com//welcome/newCities/diamond-bar,8688.0,435.0,6690871.0
Tujunga,Los Angeles,https://www.localcrimenews.com//welcome/newCities/tujunga,8627.0,432.0,6690871.0
Claremont,Los Angeles,https://www.localcrimenews.com//welcome/newCities/claremont,8495.0,425.0,6690871.0
Hawaiian Gardens,Los Angeles,https://www.localcrimenews.com//welcome/newCities/hawaiian-gardens,8493.0,425.0,6690871.0
Tarzana,Los Angeles,https://www.localcrimenews.com//welcome/newCities/tarzana,8438.0,422.0,6690871.0
Lomita,Los Angeles,https://www.localcrimenews.com//welcome/newCities/lomita,8223.0,412.0,6690871.0
San Juan Capistrano,Los Angeles,https://www.localcrimenews.com//welcome/newCities/san-juan-capistrano,8156.0,408.0,6690871.0
Soledad,Los Angeles,https://www.localcrimenews.com//welcome/newCities/soledad,7990.0,400.0,6690871.0
Carpinteria,Los Angeles,https://www.localcrimenews.com//welcome/newCities/carpinteria,7904.0,396.0,6690871.0
Beverly Hills,Los Angeles,https://www.localcrimenews.com//welcome/newCities/beverly-hills,7888.0,395.0,6690871.0
Temple City,Los Angeles,https://www.localcrimenews.com//welcome/newCities/temple-city,7747.0,388.0,6690871.0
Big Bear City,Los Angeles,https://www.localcrimenews.com//welcome/newCities/big-bear-city,7354.0,368.0,6690871.0
Encino,Los Angeles,https://www.localcrimenews.com//welcome/newCities/encino,7292.0,365.0,6690871.0
